Location,Average_Cost,Online_Order,Table_Booking,Rating,Votes,Reviews_Count,Cuisines,Delivery_Time,Popularity
Indore,227.0,Yes,Yes,3.2,586,438.0,Continental,36,Low
Delhi,237.0,No,No,2.9,61,67.0,Rajasthani,49,Low
Mumbai,125.0,No,Yes,3.3,299,109.0,Cafe,28,Low
Surat,152.0,Yes,Yes,2.7,532,482.0,Kerala,26,High
Ahmedabad,151.0,No,No,3.3,377,510.0,Cafe,36,Low
Hyderabad,175.0,No,Yes,,638,181.0,Gujarati,21,High
Bhopal,336.0,No,Yes,4.7,649,309.0,Biryani,24,High
Jaipur,,No,Yes,2.5,153,448.0,Biryani,36,Low
Goa,535.0,Yes,Yes,4.5,649,473.0,Gujarati,20,High
Chennai,295.0,No,No,4.8,598,555.0,Seafood,27,High
Ahmedabad,96.0,No,Yes,3.5,746,358.0,Rajasthani,40,Low
Mumbai,247.0,Yes,Yes,3.1,659,401.0,Kerala,108,Low
Nagpur,248.0,No,Yes,,420,387.0,Chinese,56,Low
Goa,119.0,No,No,2.5,281,438.0,Chinese,32,Low
Indore,225.0,Yes,No,3.1,663,179.0,Street Food,30,Low
Bangalore,242.0,No,Yes,2.9,731,327.0,North Indian,47,Low
Bhopal,143.0,Yes,No,3.2,172,169.0,Gujarati,28,Low
Pune,171.0,No,No,3.9,53,249.0,Street Food,38,High
Surat,581.0,No,No,4.3,560,,Fast Food,31,High
Kochi,87.0,No,No,4.1,112,349.0,Kerala,49,High
Bhopal,538.0,No,No,,798,416.0,Rajasthani,26,High
Indore,320.0,Yes,Yes,4.6,594,451.0,South Indian,35,High
Chennai,108.0,No,Yes,3.1,154,68.0,Chinese,35,Low
Surat,344.0,No,Yes,,695,378.0,North Indian,47,High
Jaipur,100.0,Yes,No,3.4,349,530.0,North Indian,43,Low
Nashik,146.0,Yes,No,3.6,109,86.0,Fast Food,44,Low
Bhopal,143.0,Yes,No,2.9,285,311.0,North Indian,20,Low
Ahmedabad,434.0,Yes,No,4.3,713,304.0,Rajasthani,21,High
Surat,554.0,No,Yes,5.0,671,567.0,Continental,30,High
Kochi,90.0,No,No,2.6,274,333.0,Cafe,36,Low
Mumbai,470.0,No,Yes,5.0,486,35.0,Seafood,24,High
Jaipur,462.0,No,No,4.6,782,249.0,Continental,29,High
Delhi,134.0,No,Yes,3.4,195,254.0,Seafood,56,Low
Jaipur,289.0,Yes,No,4.8,711,215.0,Gujarati,103,High
Kochi,168.0,Yes,Yes,3.1,303,346.0,Street Food,54,Low
Goa,90.0,No,No,,132,428.0,Rajasthani,59,Low
Mumbai,219.0,Yes,Yes,3.5,94,127.0,Biryani,28,Low
Surat,248.0,Yes,Yes,2.8,687,22.0,Rajasthani,46,Low
Pune,329.0,No,No,4.4,519,55.0,Cafe,26,High
Chennai,225.0,Yes,No,2.5,564,38.0,Gujarati,41,Low
Surat,344.0,No,Yes,,695,378.0,North Indian,47,High
Bangalore,258.0,Yes,No,4.6,566,347.0,North Indian,24,High
Pune,203.0,Yes,No,3.1,745,168.0,Seafood,26,Low
Nagpur,90.0,Yes,Yes,2.8,612,22.0,Continental,47,Low
Indore,448.0,Yes,Yes,4.8,730,259.0,Kerala,20,High
Nagpur,307.0,No,No,5.0,728,431.0,Biryani,25,High
Bangalore,173.0,Yes,No,4.0,34,292.0,Biryani,43,Low
Chennai,85.0,Yes,Yes,3.0,587,214.0,Biryani,56,Low
Surat,274.0,Yes,Yes,4.5,580,25.0,South Indian,23,High
Nagpur,102.0,No,Yes,3.2,161,424.0,Biryani,57,Low
Pune,585.0,Yes,Yes,4.4,566,105.0,Kerala,26,High
Surat,470.0,Yes,Yes,4.9,774,231.0,South Indian,26,High
Bangalore,172.0,Yes,No,2.5,720,235.0,Seafood,44,Low
Bangalore,248.0,Yes,No,2.8,768,399.0,Kerala,53,Low
Kochi,86.0,Yes,No,3.2,353,135.0,Gujarati,33,Low
Chennai,96.0,Yes,No,3.4,551,570.0,North Indian,33,Low
Bhopal,6816.0,No,No,2.6,672,539.0,Fast Food,48,High
Hyderabad,150.0,Yes,No,3.0,650,339.0,Gujarati,40,Low
Surat,558.0,Yes,Yes,4.3,483,579.0,Street Food,34,High
Nagpur,188.0,Yes,Yes,2.6,290,23.0,Fast Food,33,Low
Delhi,114.0,Yes,No,2.5,837,89.0,South Indian,42,Low
Indore,212.0,Yes,No,3.0,245,380.0,Cafe,46,Low
Chennai,173.0,Yes,No,3.7,36,75.0,Biryani,21,Low
Hyderabad,162.0,Yes,No,2.5,253,482.0,Biryani,25,Low
Bangalore,242.0,No,Yes,3.3,681,157.0,Biryani,39,Low
Goa,185.0,Yes,Yes,3.5,144,308.0,Continental,32,Low
Mumbai,235.0,Yes,Yes,5.0,81,578.0,Seafood,26,Low
Nashik,416.0,No,Yes,4.7,679,584.0,Gujarati,33,High
Delhi,130.0,No,No,4.6,271,409.0,Fast Food,42,High
Bhopal,412.0,No,Yes,4.3,436,463.0,Chinese,32,High
Bangalore,,No,Yes,3.4,106,501.0,Kerala,23,Low
Mumbai,326.0,No,No,4.9,455,62.0,Continental,33,High
Surat,124.0,No,No,3.4,119,426.0,Kerala,60,Low
Surat,106.0,Yes,Yes,,587,101.0,Street Food,49,High
Jaipur,335.0,Yes,Yes,4.9,1758,235.0,Seafood,31,High
Goa,,No,Yes,3.3,422,262.0,North Indian,56,Low
Hyderabad,95.0,Yes,No,3.0,860,212.0,Chinese,58,Low
Mumbai,579.0,Yes,No,3.6,308,295.0,South Indian,26,High
Nashik,486.0,Yes,Yes,4.7,866,183.0,Biryani,27,High
Indore,238.0,No,No,3.5,841,106.0,Fast Food,54,Low
Delhi,171.0,No,Yes,3.3,307,443.0,Fast Food,44,Low
Surat,196.0,No,No,3.0,418,80.0,Continental,20,Low
Jaipur,477.0,Yes,No,4.6,486,238.0,Street Food,34,High
Surat,569.0,Yes,Yes,4.6,821,80.0,Continental,21,High
Pune,116.0,No,No,3.0,810,89.0,Fast Food,35,Low
Goa,232.0,Yes,Yes,3.2,491,441.0,South Indian,120,Low
Goa,,Yes,Yes,4.6,806,358.0,Seafood,32,High
Ahmedabad,129.0,Yes,Yes,4.7,96,141.0,Street Food,29,Low
Goa,249.0,No,No,3.3,137,184.0,North Indian,41,Low
Mumbai,167.0,Yes,No,3.5,486,594.0,Fast Food,59,Low
Indore,317.0,No,No,4.5,699,164.0,South Indian,30,High
Kochi,156.0,Yes,No,2.8,429,247.0,Kerala,22,Low
Nagpur,133.0,Yes,No,3.3,637,557.0,Rajasthani,24,Low
Nagpur,87.0,No,No,4.4,115,109.0,Seafood,40,Low
Bhopal,412.0,No,Yes,4.3,436,463.0,Chinese,32,High
Goa,254.0,No,Yes,5.0,436,527.0,Gujarati,31,High
Nagpur,110.0,Yes,No,3.2,854,437.0,Rajasthani,26,Low
Nashik,185.0,Yes,Yes,2.8,32,507.0,Kerala,20,Low
Delhi,130.0,No,No,4.6,271,409.0,Fast Food,42,High
Mumbai,470.0,No,No,4.4,649,596.0,South Indian,21,Low
Nagpur,103.0,No,Yes,4.7,66,90.0,North Indian,35,Low
Nagpur,585.0,No,Yes,4.7,375,102.0,Rajasthani,51,High
Ahmedabad,599.0,Yes,Yes,,432,393.0,Seafood,27,High
Goa,196.0,No,Yes,3.5,801,175.0,Rajasthani,35,Low
Nashik,108.0,No,Yes,3.8,50,87.0,Seafood,59,Low
Ahmedabad,,No,Yes,3.3,820,184.0,North Indian,46,Low
Hyderabad,422.0,No,No,4.7,561,376.0,Seafood,32,High
Pune,159.0,Yes,No,2.8,456,166.0,North Indian,48,Low
Goa,,Yes,Yes,4.6,806,358.0,Seafood,32,High
Hyderabad,175.0,No,Yes,,638,181.0,Gujarati,21,High
Mumbai,6852.0,No,Yes,4.4,60,39.0,Fast Food,49,Low
Ahmedabad,191.0,No,Yes,4.8,298,233.0,Kerala,40,Low
Delhi,89.0,Yes,Yes,2.9,342,297.0,Continental,46,Low
Nagpur,112.0,Yes,No,3.5,627,228.0,Biryani,23,Low
Bhopal,336.0,No,Yes,4.7,649,309.0,Biryani,24,High
Jaipur,245.0,Yes,No,4.6,105,,North Indian,44,Low
Goa,208.0,No,Yes,3.6,107,300.0,Kerala,54,Low
Indore,198.0,No,No,3.9,148,590.0,Rajasthani,49,Low
Pune,301.0,Yes,No,,625,145.0,Seafood,21,High
Pune,95.0,No,No,4.3,95,444.0,Biryani,46,Low
Hyderabad,2911.0,Yes,Yes,3.1,516,,Biryani,53,Low
Delhi,131.0,No,Yes,2.9,168,43.0,Seafood,58,Low
Bhopal,528.0,Yes,Yes,4.6,485,177.0,Street Food,32,High
Pune,,No,No,4.4,800,565.0,South Indian,34,High
Pune,135.0,Yes,Yes,3.2,142,506.0,Continental,42,Low
Nagpur,290.0,No,No,,810,367.0,South Indian,29,High
Chennai,295.0,No,No,4.8,598,555.0,Seafood,27,High
Surat,196.0,No,No,2.8,449,581.0,Gujarati,50,Low
Nagpur,585.0,No,Yes,4.7,375,102.0,Rajasthani,51,High
Nagpur,139.0,No,Yes,3.3,657,,Street Food,33,Low
Delhi,112.0,Yes,Yes,3.2,292,163.0,Chinese,25,Low
Kochi,259.0,Yes,No,4.3,811,441.0,Cafe,28,High
Delhi,108.0,Yes,No,3.3,756,306.0,Chinese,46,Low
Indore,231.0,Yes,Yes,2.8,730,578.0,North Indian,28,Low
Hyderabad,401.0,No,No,4.4,664,101.0,Biryani,23,High
Bangalore,370.0,No,No,4.5,798,61.0,Rajasthani,32,High
Goa,146.0,Yes,Yes,,563,336.0,Rajasthani,47,Low
Mumbai,240.0,No,No,2.7,300,288.0,Street Food,53,Low
Pune,465.0,Yes,No,5.0,857,,Fast Food,26,High
Delhi,545.0,No,Yes,3.9,599,522.0,Street Food,21,Low
Chennai,92.0,No,No,2.8,197,74.0,Biryani,37,Low
Jaipur,94.0,Yes,No,2.7,299,212.0,Biryani,22,Low
Ahmedabad,104.0,Yes,No,2.7,709,285.0,Fast Food,59,Low
Kochi,,No,No,5.0,635,259.0,South Indian,31,High
Nashik,138.0,Yes,Yes,2.7,169,592.0,Fast Food,55,High
